,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 1991,Citations 1992,Citations 1993,Citations 1994,Citations 1995,Citations 1996,Citations 1997,Citations 1998,Citations 1999,Citations 2000,Citations 2001,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
58,625917,Detector description and performance for the first coincidence observations between LIGO and GEO,published;hep;core;fermilab;citeable;arxiv,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,231,LIGO Scientific,LIGO,Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,11,30,28,23,28,19,15,16,5,5,11,5,4,2,3,3,1,3
59,625985,Setting upper limits on the strength of periodic gravitational waves using the first science data from the GEO 600 and LIGO detectors,published;hep;core;fermilab;citeable;arxiv,Phys.Rev.,,,,,,PHYSICAL REVIEW D,14759,180,LIGO Scientific,LIGO,Gravitation and Cosmology,2003,0,0,0,0,0,0,0,0,0,0,0,0,4,23,26,8,7,14,8,7,8,6,6,10,5,7,8,5,10,3
60,626312,Analysis of LIGO data for gravitational waves from binary neutron stars,published;hep;core;fermilab;citeable;arxiv,Phys.Rev.,,,,,,PHYSICAL REVIEW D,14759,151,LIGO Scientific,LIGO,Gravitation and Cosmology,2003,0,0,0,0,0,0,0,0,0,0,0,0,7,23,28,10,12,7,14,8,3,3,7,4,1,5,1,0,1,3
61,627679,Status of the search for gravitational wave bursts with the LIGO detectors,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,4,LIGO Scientific,LIGO,Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,627692,Advanced LIGO: Sources and astrophysics,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,8,,LIGO,Astrophysics,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,3,0,0,0
63,627696,Calibration of the LIGO detectors for the first LIGO science run,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,13,LIGO Scientific,LIGO,Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
64,630097,Search for inspiralling neutron stars in LIGO S1 data,hep;core;conferencepaper;citeable,Class.Quant.Grav.,650097,,,,Class.Quant.Grav. 21 (2004) S691-S696,CLASSICAL AND QUANTUM GRAVITY,3723,3,LIGO Scientific,LIGO,Astrophysics;Instrumentation;gr-qc,2003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,632730,Upper limits on the strength of periodic gravitational waves from PSR J1939+2134,published;conferencepaper;hep;core;fermilab;citeable;arxiv,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,3,LIGO Scientific,LIGO,Gravitation and Cosmology,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,634642,Testing the LIGO inspiral analysis with hardware injections,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,Class.Quant.Grav. 21 (2004) S797-S800,CLASSICAL AND QUANTUM GRAVITY,3723,11,LIGO Scientific,LIGO,Instrumentation;gr-qc,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,2,0,1,0,0
67,635055,First upper limits from LIGO on gravitational wave bursts,published;conferencepaper;hep;core;fermilab;citeable,Class.Quant.Grav.,650097,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,1,LIGO Scientific,LIGO,Gravitation and Cosmology,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,636029,Analysis of first LIGO science data for stochastic gravitational waves,published;hep;core;fermilab;citeable;arxiv,Phys.Rev.,,,,,,PHYSICAL REVIEW D,14759,98,LIGO Scientific,LIGO,Gravitation and Cosmology;Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,3,13,24,5,5,8,3,2,3,2,2,1,5,1,3,4,0,3
69,637128,LIGO detectors and data analyses: Current status and future prospects,hep;core;conferencepaper,NA,632683,,,Prepared for,,NA,NA,,LIGO Scientific,LIGO,Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
